dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
german,sage,edge_adder,0.0,10.0,0.6283200000000001,0.06738042122624233,0.6080644195495994,0.25379522267524596,0.06703491543917076,0.07933076980874444,0.06081932773109242,0.07175907533557015
german,sage,edge_adder,0.1,0.0,0.6062704761904761,0.04620850373780863,0.581002254101238,0.29080893611292097,0.13016912165848338,0.1510142386147205,0.13665966386554623,0.17072637041841549
german,sage,edge_adder,0.5,0.0,0.6114438095238095,0.06691966838855047,0.6191592068439427,0.2041919836657737,0.1245090016366612,0.08577230939779013,0.11281512605042017,0.07370656929650594
german,sage,edge_adder,1.0,0.0,0.6467657142857144,0.06200162432222323,0.7153761697011396,0.18928843866038456,0.08094653573376977,0.0952648219827487,0.07184873949579831,0.09739745938305065
german,sage,edge_adder,5.0,0.0,0.6608533333333334,0.03454496775622916,0.7110531218968948,0.11686121475685979,0.10064102564102562,0.053408340337176285,0.08434873949579834,0.05518266157671965
german,sage,edge_adder,10.0,0.0,0.6008457142857143,0.0675858779543938,0.5205126491076397,0.2853998692914869,0.054473540643753406,0.03156201649256362,0.02899159663865546,0.02508811531617967
german,sgc,vanilla,0.0,0.0,0.6871161904761904,0.018657309997063626,0.7123777302243283,0.09768551643294757,0.2877114020731042,0.08390104449227216,0.2282563025210084,0.06193391687369565
german,sgc,edge_adder,0.0,0.1,0.6837790476190476,0.02227083459301399,0.6891294033280028,0.09516541725238915,0.16429350791052919,0.08661110598512646,0.11218487394957984,0.061633442522714584
german,sgc,edge_adder,0.0,0.5,0.6632228571428571,0.04642957599890014,0.5814443908788479,0.2476607341297738,0.12175395526459354,0.0768883444413757,0.0838235294117647,0.04828917583172118
german,sgc,edge_adder,0.0,1.0,0.6491657142857143,0.04597602593248159,0.65924233705883,0.13569912411445323,0.14064375340971086,0.0686495925166681,0.08634453781512605,0.05383195835311351
german,sgc,edge_adder,0.0,5.0,0.6146209523809525,0.026995081369401153,0.6025531412337035,0.15621350333442224,0.037397708674304406,0.026977466809801356,0.0578781512605042,0.035678584479187626
german,sgc,edge_adder,0.0,10.0,0.6113676190476189,0.009947442110168193,0.6741703342169358,0.10547076282210668,0.05608292416803058,0.04963256640311674,0.08392857142857142,0.05299669041527127
german,sgc,edge_adder,0.1,0.0,0.6947580952380953,0.016276541666360823,0.6092790662570131,0.1673996534992654,0.24354882705946537,0.07860114218713454,0.18109243697478988,0.051176487836511006
german,sgc,edge_adder,0.5,0.0,0.6883961904761906,0.016639720911666194,0.6880172415439884,0.07706991067833369,0.2325013638843426,0.037360626160290435,0.16060924369747898,0.028207057772558438
german,sgc,edge_adder,1.0,0.0,0.6850285714285714,0.014105448039643883,0.7098160403084073,0.06705237900784837,0.19687670485542827,0.0683924899958747,0.11523109243697478,0.0507974548306585
german,sgc,edge_adder,5.0,0.0,0.6442438095238094,0.02806135784458109,0.7009175875880832,0.11258557928541339,0.0679078014184397,0.04318534472643517,0.03151260504201683,0.01718970160867786
german,sgc,edge_adder,10.0,0.0,0.642727619047619,0.016146658465200657,0.6600219083904187,0.13064097050365872,0.06318876159301692,0.045447239786424676,0.023739495798319313,0.011774080898489117
nba,gat,vanilla,0.0,0.0,0.66,0.06041522986797285,0.5966295726337623,0.05660286827929513,0.1740829346092504,0.10895082852767006,0.22333333333333336,0.17
nba,gat,edge_adder,0.0,0.1,0.6854487179487179,0.054539228533658966,0.6131196661000582,0.030995084316724514,0.11259968102073367,0.06616590389516555,0.11333333333333333,0.08459051693633016
nba,gat,edge_adder,0.0,0.5,0.6668589743589743,0.031000797957959764,0.6089472346822438,0.04545648726516645,0.13628389154704948,0.08104086357826071,0.14666666666666667,0.0686375342732467
nba,gat,edge_adder,0.0,1.0,0.6662820512820513,0.047794211506388753,0.5984225112357333,0.05476865454391244,0.06754385964912282,0.049644655051866576,0.12999999999999998,0.06227180564089803
nba,gat,edge_adder,0.0,5.0,0.6687179487179489,0.06305542160111123,0.6132551188482476,0.06053395768427838,0.12280701754385966,0.08487561173731147,0.1833333333333333,0.09803627446568494
nba,gat,edge_adder,0.0,10.0,0.6944230769230769,0.0509000596753156,0.6720775964340387,0.04619092348549154,0.09912280701754386,0.07340340349428055,0.16000000000000003,0.11623730516108464
nba,gat,edge_adder,0.1,0.0,0.6699999999999999,0.05017539912333596,0.6091883865294997,0.05016230827885363,0.11913875598086125,0.04826663308989012,0.13000000000000003,0.05259911279353169
nba,gat,edge_adder,0.5,0.0,0.6821153846153846,0.06271999414867005,0.6193693889921092,0.057270678099969836,0.09401913875598086,0.08356590943440796,0.15000000000000002,0.1267105187249881
nba,gat,edge_adder,1.0,0.0,0.6705769230769232,0.05311658526775081,0.6059236429178673,0.038944646421805826,0.10566188197767143,0.08447852123166483,0.14666666666666664,0.11372481406154654
nba,gat,edge_adder,5.0,0.0,0.657051282051282,0.06606359377214299,0.600273240677462,0.07695401021791244,0.1065390749601276,0.06294407444640601,0.16333333333333333,0.12151817422372123
nba,gat,edge_adder,10.0,0.0,0.6556410256410257,0.06610637334611297,0.6120368925407285,0.043067991647265845,0.11299840510366824,0.11597706803951778,0.14666666666666667,0.11756794725698934
nba,gcn,vanilla,0.0,0.0,0.7279487179487178,0.0064879902199384476,0.6322133947113855,0.03212866723124732,0.2748803827751196,0.030558084692385423,0.2066666666666667,0.06110100926607787
nba,gcn,edge_adder,0.0,0.1,0.6717307692307692,0.006645986168350157,0.6080845098120674,0.04361965085259026,0.38285486443381184,0.04767306276600552,0.35666666666666674,0.03666666666666666
nba,gcn,edge_adder,0.0,0.5,0.6743589743589744,0.007980704870505622,0.6133387652916695,0.03241848316339116,0.3897926634768741,0.055317617598511566,0.35,0.04281744192888375
nba,gcn,edge_adder,0.0,1.0,0.6749358974358974,0.0077160424428341845,0.603164160627311,0.021801974420608248,0.32862838915470494,0.05539188847321399,0.29000000000000004,0.05783117190965824
nba,gcn,edge_adder,0.0,5.0,0.6756410256410257,0.00928934406807015,0.6074426327255549,0.025403251582352602,0.3100478468899522,0.0369878432346176,0.2766666666666667,0.04725815626252607
nba,gcn,edge_adder,0.0,10.0,0.6789743589743591,0.009580277790907353,0.5911404731741186,0.03877317632620776,0.2800637958532695,0.03927430192925263,0.27,0.05859465277082313
nba,gcn,edge_adder,0.1,0.0,0.6736538461538462,0.00774792924764814,0.612076734272003,0.02790558315119535,0.37966507177033504,0.04960416049295274,0.33,0.050442486501405176
nba,gcn,edge_adder,0.5,0.0,0.6766666666666667,0.007219440115538994,0.6088003167882308,0.037397940823656425,0.35765550239234456,0.03738365216962443,0.30333333333333334,0.062271805640897994
nba,gcn,edge_adder,1.0,0.0,0.6778846153846154,0.007427327068113116,0.617764579296536,0.02244528888376838,0.31140350877192985,0.047334107613217484,0.2533333333333334,0.05617433182117571
nba,gcn,edge_adder,5.0,0.0,0.6850641025641027,0.005882436331930061,0.619447012966661,0.023100432043459778,0.27575757575757576,0.03945845726319462,0.22333333333333338,0.06506407098647712
nba,gcn,edge_adder,10.0,0.0,0.6885897435897436,0.006253204306798541,0.5930768872058012,0.022043808988206844,0.30598086124401913,0.026211794904102005,0.28666666666666674,0.030550504633038936
nba,gin,vanilla,0.0,0.0,0.5681410256410256,0.0705868201449269,0.3990605804879396,0.24462603020853674,0.10893141945773525,0.09432716342797941,0.07333333333333333,0.06289320754704401
nba,gin,edge_adder,0.0,0.1,0.606474358974359,0.022484288473051162,0.5493051649069118,0.13053845137489123,0.07878787878787878,0.052945754091167134,0.11999999999999997,0.08589399151150082
nba,gin,edge_adder,0.0,0.5,0.6094871794871796,0.011484202911055749,0.5382806591341083,0.05889466768285469,0.07009569377990432,0.04693366936426559,0.17666666666666664,0.07608474807008886
nba,gin,edge_adder,0.0,1.0,0.6071794871794871,0.008708516768072652,0.5203712843395489,0.13786058116925146,0.05701754385964911,0.0393849791900748,0.11333333333333331,0.06863753427324666
nba,gin,edge_adder,0.0,5.0,0.5844871794871794,0.07024997631029944,0.43499671572171417,0.23022497987249607,0.04657097288676237,0.04151052832541114,0.07999999999999999,0.05617433182117572
nba,gin,edge_adder,0.0,10.0,0.6015384615384616,0.03080953556806383,0.4604689766751228,0.16937423198019771,0.07575757575757576,0.05689444782145873,0.16999999999999998,0.1110055053689781
nba,gin,edge_adder,0.1,0.0,0.6058333333333333,0.025556672144946037,0.5616603616947702,0.1426091163185949,0.05071770334928229,0.046718757889891466,0.08999999999999998,0.08171767114754173
